date,metric,BTC,ETH
2024-07-13,etf_net_flow_usd_millions,0.0,0.0
2024-07-14,etf_cumulative_net_flow_usd_millions,15812.7,0.0
2024-07-14,etf_net_flow_usd_millions,0.0,0.0
2024-07-15,etf_cumulative_net_flow_usd_millions,16113.6,0.0
2024-07-15,etf_net_flow_usd_millions,300.9,0.0
2024-07-16,etf_cumulative_net_flow_usd_millions,16536.1,0.0
2024-07-16,etf_net_flow_usd_millions,422.5,0.0
2024-07-17,etf_cumulative_net_flow_usd_millions,16589.4,0.0
2024-07-17,etf_net_flow_usd_millions,53.3,0.0
2024-07-18,etf_cumulative_net_flow_usd_millions,16626.6,0.0
2024-07-18,etf_net_flow_usd_millions,37.2,0.0
2024-07-19,etf_cumulative_net_flow_usd_millions,17053.8,0.0
2024-07-19,etf_net_flow_usd_millions,427.2,0.0
2024-07-20,etf_cumulative_net_flow_usd_millions,17053.8,0.0
2024-07-20,etf_net_flow_usd_millions,0.0,0.0
2024-07-21,etf_cumulative_net_flow_usd_millions,17053.8,0.0
2024-07-21,etf_net_flow_usd_millions,0.0,0.0
2024-07-22,etf_cumulative_net_flow_usd_millions,17539.7,0.0
2024-07-22,etf_net_flow_usd_millions,485.9,0.0
2024-07-23,etf_cumulative_net_flow_usd_millions,17461.7,106.6
2024-07-23,etf_net_flow_usd_millions,-78.0,106.6
2024-07-24,etf_cumulative_net_flow_usd_millions,17506.2,-26.7
2024-07-24,etf_net_flow_usd_millions,44.5,-133.3
2024-07-25,etf_cumulative_net_flow_usd_millions,17537.3,-179.1
2024-07-25,etf_net_flow_usd_millions,31.1,-152.4
2024-07-26,etf_cumulative_net_flow_usd_millions,17589.1,-341.8
2024-07-26,etf_net_flow_usd_millions,51.8,-162.7
2024-07-27,etf_cumulative_net_flow_usd_millions,17589.1,-341.8
2024-07-27,etf_net_flow_usd_millions,0.0,0.0
2024-07-28,etf_cumulative_net_flow_usd_millions,17589.1,-341.8
2024-07-28,etf_net_flow_usd_millions,0.0,0.0
2024-07-29,etf_cumulative_net_flow_usd_millions,17713.2,-440.1
2024-07-29,etf_net_flow_usd_millions,124.1,-98.3
2024-07-30,etf_cumulative_net_flow_usd_millions,17694.9,-406.4
2024-07-30,etf_net_flow_usd_millions,-18.3,33.7
